#file	md5sum	crc32	size
./GCF_000025985.1_ASM2598v1_ani_contam_ranges.tsv	470f1d4b2520dc2bd40ef47b91b96828	ce55676e	2452
./GCF_000025985.1_ASM2598v1_ani_report.txt	322f71e1c13215e0134212000ebee43b	27262938	5869
./GCF_000025985.1_ASM2598v1_assembly_report.txt	bbdf8fae97a82ee8da53d6140b50f288	3bc868c5	1355
./GCF_000025985.1_ASM2598v1_cds_from_genomic.fna	c397638e735bd5466de7a0324651f40c	4c7f1231	5614274
./GCF_000025985.1_ASM2598v1_fcs_report.txt	220e5c324155269e15486fb1ab6ed007	e0b1db30	513
./GCF_000025985.1_ASM2598v1_gene_ontology.gaf	16146a7a711cb88d935aa408989b33a5	23bbb42a	875059
./GCF_000025985.1_ASM2598v1_genomic.fna	ffd1964ca64888e9e1a5f3cde5989f2a	33f4e3b2	5307364
./GCF_000025985.1_ASM2598v1_genomic.gbff	7bbd2835e4530300138dc4e0fd35e4e0	3d59a652	13198837
./GCF_000025985.1_ASM2598v1_genomic.gff	09b8821cba98f8ed58270395e711dc16	6b8a6e2f	2825456
./GCF_000025985.1_ASM2598v1_genomic.gtf	e752399d782e771a9b779a171871032b	9106ab4d	7743700
./GCF_000025985.1_ASM2598v1_protein.faa	1bbc7a266064bcd8005cd6e7668a9f34	4d40a240	1864230
./GCF_000025985.1_ASM2598v1_rna_from_genomic.fna	773b2ec85fd4fc5b4e3f4c650542fe90	f7d1c901	49448
./GCF_000025985.1_ASM2598v1_translated_cds.faa	a06a7091f4a24f38fafb6f7ec4773122	a6922aa8	2471097
