#file	md5sum	crc32	size
./GCF_001709315.1_ASM170931v1_ani_contam_ranges.tsv	df5680cc0760c6f3f0b8d0294b915cfe	aa17b571	76498
./GCF_001709315.1_ASM170931v1_ani_report.txt	c3a5bf297726fed7170ea5ddcd55d191	be8e29b5	5658
./GCF_001709315.1_ASM170931v1_assembly_report.txt	e7973b1773ef58efc658c886cf406268	cbe9f11f	1541
./GCF_001709315.1_ASM170931v1_cds_from_genomic.fna	43e168e1170bdce4d638a22dde4d31c7	d7ccd5f3	5354524
./GCF_001709315.1_ASM170931v1_fcs_report.txt	3210b218b7c9e220fc38cdba2a89816f	0cc2d952	617
./GCF_001709315.1_ASM170931v1_gene_ontology.gaf	e1ca71f35be968e8c406084352145b61	1390f164	1013799
./GCF_001709315.1_ASM170931v1_genomic.fna	3e4ffaed7921d88d3f778b87a8045b92	4f479d74	5179515
./GCF_001709315.1_ASM170931v1_genomic.gbff	bf4e34e9f0cee285681d8a2cce5fe284	176e14d4	13049014
./GCF_001709315.1_ASM170931v1_genomic.gff	ac066a268011ce3163922f7ec36c9b5a	97ba733a	3021101
./GCF_001709315.1_ASM170931v1_genomic.gtf	f4cabca341a6aee7ac28b95b50126c02	213dd2cf	8341537
./GCF_001709315.1_ASM170931v1_protein.faa	0ab3cb65b491dfe5000f10aba9db6cbd	84242b8b	1735498
./GCF_001709315.1_ASM170931v1_rna_from_genomic.fna	d241327265368e1bb1394c0e01b7860e	1420b87b	55823
./GCF_001709315.1_ASM170931v1_translated_cds.faa	ac5d3b433212cac456f8791bbfc58d51	b78b35fd	2387504
