#file	md5sum	crc32	size
./GCF_000005845.2_ASM584v2_ani_contam_ranges.tsv	0feb9ab0ef81aed6d768628d50b119fd	0c012c82	46803
./GCF_000005845.2_ASM584v2_ani_report.txt	e3cc1640429bfbb576a1328b0b371fff	bb0bd3b6	5812
./GCF_000005845.2_ASM584v2_assembly_report.txt	5d767338dae878d0d547ca5edb138df3	28f934b1	1207
./GCF_000005845.2_ASM584v2_cds_from_genomic.fna	113ad98b89cb697e22aae117a1ae1a89	b0a79c52	5043627
./GCF_000005845.2_ASM584v2_fcs_report.txt	9bd2c1f0b8d87e8b1b7215551c099c17	924e232e	667
./GCF_000005845.2_ASM584v2_genomic.fna	92c997bcd88e983ffdb21b2712ed3736	f36bbf76	4699745
./GCF_000005845.2_ASM584v2_genomic.gbff	f672d15307d0ec093145f6916d8fc052	4df68329	11882100
./GCF_000005845.2_ASM584v2_genomic.gff	a7cef966c981b35c5bbf30c3df923312	f5f907ce	2467646
./GCF_000005845.2_ASM584v2_genomic.gtf	27882704f8ef02338681dcdd2ee6d26b	4bbbd7df	6774966
./GCF_000005845.2_ASM584v2_protein.faa	4c19a285fd7a4e75ce34a466fcf0607f	25917a05	1750878
./GCF_000005845.2_ASM584v2_rna_from_genomic.fna	fd55823557f1ecb83c3d8939a0e88aea	0796f039	97814
./GCF_000005845.2_ASM584v2_translated_cds.faa	1d55819ca9d1172f528ff26ccb9687a0	7b546c56	2325398
